EMG_emg_std,EMG_emg_rms,EMG_power,EEG_ch0_delta_relative,EMG_variance,EEG_ch0_rbpr_delta_theta_alpha_beta,EEG_ch0_gamma_power,EEG_ch0_gamma_relative,EEG_ch1_gamma_relative,EOG_ch0_eog_var,EOG_ch0_rem_energy,EEG_ch0_rbpr_delta_alpha,EOG_ch1_eog_var,EEG_ch1_gamma_power,EOG_ch0_eog_peak_amplitude,EOG_ch0_sem_slope,EEG_ch0_delta_power,EEG_ch1_delta_relative,EOG_ch0_sem_variance,EOG_ch1_rem_energy,EOG_ch0_eog_range,EEG_ch0_iqr,EEG_ch0_q25,EEG_ch0_alpha_relative,EOG_ch1_sem_variance,EEG_ch0_beta_relative,EEG_ch0_zero_crossings,EEG_ch1_rbpr_delta_alpha,EEG_ch1_delta_power,EEG_ch0_q75,EEG_ch1_zero_crossings,EEG_ch1_spectral_entropy,EEG_ch0_D1_std,EEG_ch0_hjorth_mobility,EEG_ch0_std,EEG_ch0_D1_energy,EEG_ch0_rms,EEG_ch1_rbpr_delta_theta_alpha_beta,EEG_ch0_spectral_edge_freq_95,EOG_ch1_sem_slope,EEG_ch1_D1_std,EEG_ch1_q25,EOG_ch1_eog_peak_amplitude,EEG_ch0_A5_energy,EEG_ch0_spectral_entropy,EEG_ch1_D1_energy,EOG_ch1_eog_range,EEG_ch1_theta_relative,EEG_ch1_alpha_relative,EEG_ch1_q75
1.3751933080902222e-05,1.3751933130771036e-05,1.8911566483319809e-10,0.6329144049976169,1.8911566346161287e-10,2.6363273390738304,3.8735190860462095e-16,3.5216410794217508e-06,2.103733435648538e-05,6.501946726668396e-10,1.867377755993188e-06,5.034514047726635,7.499118317775687e-10,2.6783497545046595e-15,0.0001363203781348095,9.035487799843207e-08,6.961544269566505e-11,0.20343204648610924,3.100022386614143e-11,2.079709179788609e-06,0.0002665090956529963,1.2947147727860005e-05,-6.347664769522155e-06,0.12571509365107703,3.45537457654689e-11,0.14678647328935773,445.0,0.807736844879659,2.5899772401368015e-11,6.5994829583378496e-06,598.0,3.6389883798360976,1.825008894612941e-05,0.2606279388304842,1.559593828455339e-05,4.101112576347307e-08,1.559716658514944e-05,0.40949124003814663,14.6484375,8.935876521354494e-08,1.9905449749257473e-05,-8.731150792222765e-06,0.00013644961557839758,7.552240648866893e-07,2.337717803777823,4.88924417145586e-08,0.0002638543571965058,0.0848040410004505,0.251854360458718,9.688812573225048e-06
1.2212976774280614e-05,1.2212976777589406e-05,1.491568017699381e-10,0.45010771689458945,1.4915680168911772e-10,1.1658873722379175,5.8238480090014e-16,4.191044514798838e-06,1.5960003260271433e-05,7.006680062920677e-10,2.084323103582549e-06,2.299147764407965,8.639030713860278e-10,3.0175622064187285e-15,0.00013675682512422478,7.6255951151343e-08,6.25466735468101e-11,0.23398683052537564,1.3557280961440771e-11,2.527537389322625e-06,0.00025313061987272467,1.4246036410335025e-05,-6.769136976814303e-06,0.1957715479894321,2.531729262466037e-11,0.2626084547185423,465.0,0.8842664048382017,4.4239954408447246e-11,7.476899433520723e-06,637.0,3.5406606900923387,1.7306897323531844e-05,0.3215933462196763,1.79324476232705e-05,3.8529729059462366e-08,1.7932762102931676e-05,0.4710727465937757,16.11328125,1.0438738409004754e-07,1.8808405685264716e-05,-8.941732133198403e-06,0.0001317591223163397,8.733368838957362e-07,2.781289246778459,4.399450282632209e-08,0.00024838870571713436,0.08453834599867523,0.264611240735974,9.279858970052837e-06
4.178427789439024e-06,4.178427927607169e-06,1.7459259946207543e-11,0.24708749163114457,1.745925879155629e-11,0.6942723896802261,3.5777436181051944e-16,7.78623317301739e-06,2.0200127853025245e-05,2.0382184852688438e-10,6.243225072573236e-07,1.1954273288901993,1.588953622545748e-10,1.886491593219146e-15,0.00011105409217715538,4.2004076421157515e-08,1.1353573373071316e-11,0.1687936099405211,3.7035166958663136e-12,4.0662739179405394e-07,0.0001677075214089894,1.1131139547386114e-05,-5.870978570310635e-06,0.2066938622363047,6.634257076839342e-12,0.3706803831395025,579.0,0.7830566770449322,1.5763649045132938e-11,5.260160977075478e-06,618.0,3.6835718732922875,1.3568195613806504e-05,0.4573407897078399,8.685065885801667e-06,2.268086211438869e-08,8.68507576504346e-06,0.4159939693073542,18.5546875,4.338835830650164e-08,1.6139872809638263e-05,-7.954166726623883e-06,0.00011268057333862882,1.8148543160493025e-07,3.546049377979506,3.20575837525845e-08,0.00015699714735902665,0.12183700374709507,0.21555733433946012,8.278801933775088e-06
8.124119843536972e-06,8.124119845702771e-06,6.600132326734161e-11,0.30198177516219993,6.600132323215121e-11,0.783532151491519,1.4892484692401958e-15,1.249719547524882e-05,1.0153795854560628e-05,1.1222968328719916e-09,3.1755555211541435e-06,1.3708488489016353,1.1329137902351959e-09,1.548897191522939e-15,0.00014409081894941483,1.3222068288846558e-07,3.598614563479004e-11,0.28130687119267705,5.706975714669755e-11,3.220171826544228e-06,0.00023992496406732776,1.6282817097418177e-05,-8.331084700011787e-06,0.22028816335525003,3.508016307203958e-11,0.3356849318730578,571.0,1.137695131768437,4.2911579963540326e-11,7.95173239740639e-06,517.0,3.517361115002748,1.845103449505977e-05,0.4241774906765855,1.425951011849485e-05,4.194438274073645e-08,1.4265112221137771e-05,0.6722525782369566,18.06640625,1.3564361856156875e-07,2.293961073312939e-05,-9.071584403093287e-06,0.00015576113252624971,3.961261781687029e-07,3.359459788620527,6.492989670062584e-08,0.0002718127000070205,0.11805791920999784,0.24726032777815685,9.120650106263462e-06
5.658983128616685e-06,5.658983496597831e-06,3.2024094214766616e-11,0.3350967418510027,3.2024090049968286e-11,0.7396740324942894,4.472841502209472e-16,6.6517903623926345e-06,1.7440705889068378e-05,3.5941650667074594e-10,1.4763890888282483e-06,1.4273189948954437,3.8138175731059653e-10,1.3070775183439956e-15,0.00012945067331703082,4.588966447987585e-08,2.2532799931283628e-11,0.22101802912610988,4.800246821054919e-12,1.836178015565851e-06,0.00022649069275191023,1.1835480527037663e-05,-5.76391800081521e-06,0.23477354610246026,8.257139023963282e-12,0.3314945136562575,527.0,0.8287416875341993,1.656399109399052e-11,6.071562526222452e-06,615.0,3.6124470561760527,1.5100513660914165e-05,0.4542378031805279,1.0574272846272188e-05,2.8148054647050678e-08,1.0576111165094186e-05,0.46082130743555283,18.5546875,5.350418206821355e-08,1.8452989032521147e-05,-6.160160172418366e-06,0.00014145473063653858,2.0356826057318108e-07,3.274842910004287,4.193275074937393e-08,0.0002466593584415961,0.0902208600676592,0.2666910962132446,6.632020349235411e-06
8.572847738994961e-06,8.5728477391603e-06,7.349371835882588e-11,0.5999556364269932,7.349371835599102e-11,1.8955798314659267,1.9859809681822387e-15,6.416645936535973e-06,5.3995941031540484e-06,5.246350209877712e-10,1.5393022634570728e-06,4.648223617063506,4.780151752345474e-10,1.7271562282356106e-15,0.00014415741079235956,8.318753989170966e-08,1.8568898572279692e-10,0.5701309447361746,4.2670218006527886e-11,1.3024002837228472e-06,0.00027411056710328235,1.9489799027878546e-05,-1.0261139678854734e-05,0.12907202532695972,3.2868227721860154e-11,0.21516390352394604,544.0,3.074187845159891,1.823665248348471e-10,9.22865934902381e-06,473.0,2.6755101095468015,3.1114956359431224e-05,0.3154936713922785,2.4326104593803664e-05,1.2144776879959195e-07,2.43270851378964e-05,1.7997223652181034,16.11328125,7.726345296540448e-08,3.870661689795692e-05,-8.109212218807665e-06,0.00014004042015911518,2.1950767602082294e-06,2.507736919162279,1.8841142411714747e-07,0.00025329723229883873,0.07067766283318148,0.18545741947220587,9.756753581400065e-06
3.73685864124285e-06,3.7368588714211987e-06,1.3964114224919315e-11,0.08225201740492347,1.3964112504631357e-11,0.17384644951078512,3.139694863897014e-11,0.1611882837623536,0.22910093088290964,2.3691086539750675e-10,6.153126317707407e-07,0.9227475493729115,3.0070147292715405e-10,5.029579757847276e-11,0.00011915210766598302,3.637246297787778e-08,1.602140245950809e-11,0.08755949140505075,2.4273207836434762e-12,7.661469786881587e-07,0.00020824717009798534,1.914971379796935e-05,-9.906806333173098e-06,0.08913815860125662,3.852012748054452e-12,0.6210721358166792,1226.0,1.2149386512150884,1.9222420610910646e-11,9.242907464796252e-06,1271.0,4.274828036341287,1.4538032943484268e-05,0.9751332890821494,1.5187534939074184e-05,2.6043884401956313e-08,1.51985360642604e-05,0.20536771725962918,35.15625,4.244291846110483e-08,1.4152071289946076e-05,-1.0462826661753484e-05,0.00012673221317225985,1.4790988765128217e-07,4.251321851733833,2.465830326331727e-08,0.00019184529532473407,0.04300839693936624,0.07206906399551982,9.92951435015623e-06
5.694638436868554e-06,5.694638523941997e-06,3.2428907918364286e-11,0.3666074601526941,3.2428906926660726e-11,0.8911506002036459,9.274749963062154e-16,9.688612528640276e-06,1.381233623924529e-05,5.030742737867688e-10,1.3358838485391437e-06,2.5819683942584994,3.6036624164117485e-10,1.6598621985667728e-15,0.00012549354305610666,8.053570892367152e-08,3.5094731236885375e-11,0.3693129210064766,1.7357216138493558e-11,9.309188258561361e-07,0.00020950006184657847,1.362768334657946e-05,-6.44450250392459e-06,0.14198758628026426,4.892828011578685e-12,0.38126216772811455,522.0,1.81850321546507,4.438123619371303e-11,7.18318084265487e-06,559.0,3.124566975466696,1.954617931385603e-05,0.4585486343520721,1.2193005117832751e-05,4.6994404986341015e-08,1.2193043463754563e-05,0.8762397421508726,18.06640625,4.827942276378855e-08,2.4356013330858006e-05,-8.502318347180911e-06,0.00013251415705905535,2.829794832562398e-07,3.1697496255328494,7.319806139847228e-08,0.00019648328319415618,0.0938134588462153,0.20308620730815002,7.807124211252103e-06
5.268306344527661e-06,5.268306345539091e-06,2.7755051750447454e-11,0.30451303577917466,2.7755051739790408e-11,0.7869067520395264,5.042177868657151e-16,8.070119620479123e-06,2.182206433375641e-05,2.3804146405782153e-10,6.616376026588759e-07,1.345311844249411,1.7364978113606567e-10,1.6795469696808474e-15,0.00012103125433087324,4.466882174244765e-08,1.902585044498015e-11,0.2635417101841888,2.7447218504333238e-12,4.114475876566726e-07,0.00016945885485361144,1.1448495164189971e-05,-5.583818436945281e-06,0.22635126352364154,2.2106129931530615e-12,0.32431356707266357,588.0,1.5171344591084586,2.0283630089003996e-11,5.86467672724469e-06,616.0,3.5341372671406432,1.3758039016238788e-05,0.47211963231985715,9.427898971562585e-06,2.334489672209997e-08,9.429367266595014e-06,0.6228964651842409,18.5546875,3.448675200128237e-08,1.535741064770338e-05,-6.686202826732588e-06,0.00011184817728006443,1.3832916863759671e-07,3.4570261089887424,2.9089612642996445e-08,0.00015633458815863906,0.11528078346262965,0.17371018672864277,6.613689914143975e-06
6.786549948320052e-06,6.786549948344671e-06,4.605726020137705e-11,0.2854965491677511,4.60572602010429e-11,0.7683869607480976,3.35779421649165e-16,5.996980306960834e-06,1.5012172468801056e-05,3.2309810666960475e-10,8.831027630996919e-07,1.1881586246526756,4.4558157242426505e-10,1.3075045065018825e-15,0.00011722540955813071,5.959937216188813e-08,1.598535617185677e-11,0.2973045874589976,7.70321294701897e-12,1.3151992120418847e-06,0.0001948823905006769,1.1875217500985073e-05,-5.7928841870375816e-06,0.2402848771570445,7.399848616932502e-12,0.3150992918245776,488.0,1.3585665927953927,2.5894126164230517e-11,6.082333313947491e-06,604.0,3.2729991809269428,1.4306994390124855e-05,0.3837243753580211,1.0661101808865337e-05,2.5684259475121235e-08,1.0661139474901631e-05,0.6768533107229306,17.08984375,6.397338911342296e-08,1.5591919764815197e-05,-6.926176746299228e-06,0.00012833188638908073,2.4945529773994183e-07,3.253992137367698,2.9905243987929814e-08,0.00020496250853262676,0.10169979970425787,0.21883696319019766,6.602627740499197e-06
